2026-09-05T02:15:07Z m=[184000001,186000001) HUNT_DONE examined=5600 best=1 best_m=184019679 seconds=43.27 per_m_ms=7.727 | HUNT_HIST 0:5516 1:84 2:0 3:0 4:0 5:0 6:0 | 80s
2026-09-05T02:16:29Z m=[186000001,188000001) HUNT_DONE examined=5690 best=2 best_m=186165734 seconds=44.46 per_m_ms=7.814 | HUNT_HIST 0:5592 1:96 2:2 3:0 4:0 5:0 6:0 | 82s
2026-09-05T02:17:50Z m=[188000001,190000001) HUNT_DONE examined=5682 best=2 best_m=188230458 seconds=44.07 per_m_ms=7.755 | HUNT_HIST 0:5594 1:84 2:4 3:0 4:0 5:0 6:0 | 81s
2026-09-05T02:19:11Z m=[190000001,192000001) HUNT_DONE examined=5614 best=2 best_m=190082134 seconds=43.56 per_m_ms=7.759 | HUNT_HIST 0:5526 1:86 2:2 3:0 4:0 5:0 6:0 | 81s
2026-09-05T02:20:30Z m=[192000001,194000001) HUNT_DONE examined=5473 best=2 best_m=192122314 seconds=42.40 per_m_ms=7.747 | HUNT_HIST 0:5389 1:82 2:2 3:0 4:0 5:0 6:0 | 79s
2026-09-05T02:21:51Z m=[194000001,196000001) HUNT_DONE examined=5642 best=1 best_m=194010544 seconds=43.87 per_m_ms=7.775 | HUNT_HIST 0:5549 1:93 2:0 3:0 4:0 5:0 6:0 | 81s
2026-09-05T02:23:12Z m=[196000001,198000001) HUNT_DONE examined=5691 best=2 best_m=196988847 seconds=44.03 per_m_ms=7.736 | HUNT_HIST 0:5605 1:85 2:1 3:0 4:0 5:0 6:0 | 81s
2026-09-05T02:24:34Z m=[198000001,200000001) HUNT_DONE examined=5650 best=2 best_m=198693143 seconds=44.03 per_m_ms=7.793 | HUNT_HIST 0:5555 1:94 2:1 3:0 4:0 5:0 6:0 | 81s
2026-09-05T02:25:55Z m=[200000001,202000001) HUNT_DONE examined=5592 best=2 best_m=200354282 seconds=43.59 per_m_ms=7.795 | HUNT_HIST 0:5499 1:90 2:3 3:0 4:0 5:0 6:0 | 81s
2026-09-05T02:27:16Z m=[202000001,204000001) HUNT_DONE examined=5631 best=2 best_m=202807004 seconds=43.73 per_m_ms=7.766 | HUNT_HIST 0:5543 1:86 2:2 3:0 4:0 5:0 6:0 | 81s
2026-09-05T02:28:36Z m=[204000001,206000001) HUNT_DONE examined=5664 best=2 best_m=205792108 seconds=43.49 per_m_ms=7.678 | HUNT_HIST 0:5593 1:70 2:1 3:0 4:0 5:0 6:0 | 80s
2026-09-05T02:29:57Z m=[206000001,208000001) HUNT_DONE examined=5571 best=2 best_m=206111064 seconds=43.63 per_m_ms=7.831 | HUNT_HIST 0:5474 1:94 2:3 3:0 4:0 5:0 6:0 | 81s
2026-09-05T02:31:20Z m=[208000001,210000001) HUNT_DONE examined=5723 best=3 best_m=208876333 seconds=45.58 per_m_ms=7.964 | HUNT_HIST 0:5631 1:91 2:0 3:1 4:0 5:0 6:0 | 83s
2026-09-05T02:32:40Z m=[210000001,212000001) HUNT_DONE examined=5558 best=2 best_m=210762538 seconds=43.09 per_m_ms=7.753 | HUNT_HIST 0:5471 1:86 2:1 3:0 4:0 5:0 6:0 | 80s
2026-09-05T02:34:01Z m=[212000001,214000001) HUNT_DONE examined=5561 best=2 best_m=213976083 seconds=43.07 per_m_ms=7.744 | HUNT_HIST 0:5477 1:83 2:1 3:0 4:0 5:0 6:0 | 81s
2026-09-05T02:35:22Z m=[214000001,216000001) HUNT_DONE examined=5703 best=2 best_m=214444625 seconds=44.07 per_m_ms=7.728 | HUNT_HIST 0:5619 1:82 2:2 3:0 4:0 5:0 6:0 | 81s
2026-09-05T02:36:42Z m=[216000001,218000001) HUNT_DONE examined=5528 best=2 best_m=217682602 seconds=42.84 per_m_ms=7.750 | HUNT_HIST 0:5449 1:78 2:1 3:0 4:0 5:0 6:0 | 80s
2026-09-05T02:38:03Z m=[218000001,220000001) HUNT_DONE examined=5650 best=2 best_m=218142454 seconds=43.60 per_m_ms=7.716 | HUNT_HIST 0:5570 1:78 2:2 3:0 4:0 5:0 6:0 | 81s
2026-09-05T02:39:24Z m=[220000001,222000001) HUNT_DONE examined=5635 best=2 best_m=220179638 seconds=43.86 per_m_ms=7.784 | HUNT_HIST 0:5544 1:88 2:3 3:0 4:0 5:0 6:0 | 81s
2026-09-05T02:40:46Z m=[222000001,224000001) HUNT_DONE examined=5706 best=2 best_m=222753912 seconds=44.58 per_m_ms=7.814 | HUNT_HIST 0:5605 1:99 2:2 3:0 4:0 5:0 6:0 | 82s
2026-09-05T02:42:07Z m=[224000001,226000001) HUNT_DONE examined=5676 best=1 best_m=224034366 seconds=43.80 per_m_ms=7.717 | HUNT_HIST 0:5593 1:83 2:0 3:0 4:0 5:0 6:0 | 81s
2026-09-05T02:43:27Z m=[226000001,228000001) HUNT_DONE examined=5555 best=2 best_m=226808384 seconds=43.27 per_m_ms=7.789 | HUNT_HIST 0:5463 1:90 2:2 3:0 4:0 5:0 6:0 | 80s
